con_id,month,year,unitsconsumed,assessment,totalcollection,category,billdate
1104053246,9,2018,65,241,237,DS1,9/1/2018
1104053246,10,2018,70,259,256,DS1,10/1/2018
1104053246,11,2018,82,304,299,DS1,11/1/2018
1104053246,12,2018,15,84,83,DS1,12/1/2018
10140010668,1,2018,3,154,0,DS1,1/1/2018
10140010668,2,2018,37,190,190,DS1,2/1/2018
10140010668,3,2018,35,147,0,DS1,3/1/2018
10140010668,4,2018,NA,NA,NA,DS1,4/1/2018
10140010668,5,2018,77,348,0,DS1,5/1/2018
10140010668,6,2018,NA,NA,NA,DS1,6/1/2018
10140010668,7,2018,NA,NA,NA,DS1,7/1/2018
10140010668,8,2018,NA,NA,NA,DS1,8/1/2018
10140010668,9,2018,185,144,144,DS1,9/1/2018
10140010668,10,2018,18,96,0,DS1,10/1/2018
10140010668,11,2018,NA,NA,NA,DS1,11/1/2018
10140010668,12,2018,14,155,0,DS1,12/1/2018
10140015881,1,2018,40,175,0,DS1,1/1/2018
10140015881,2,2018,NA,NA,NA,DS1,2/1/2018
10140015881,3,2018,47,226,226,DS1,3/1/2018
10140015881,4,2018,133,322,0,DS1,4/1/2018
10140015881,5,2018,47,188,188,DS1,5/1/2018
10140015881,6,2018,5,57,0,DS1,6/1/2018
10140015881,7,2018,NA,NA,NA,DS1,7/1/2018
10140015881,8,2018,10,82,82,DS1,8/1/2018
10140015881,9,2018,10,69,0,DS1,9/1/2018
10140015881,10,2018,9,66,66,DS1,10/1/2018
10140015881,11,2018,35,144,144,DS1,11/1/2018
10140015881,12,2018,15,85,76,DS1,12/1/2018
10140044461,1,2018,0,42,0,DS1,1/1/2018
10140044461,2,2018,0,44,0,DS1,2/1/2018
10140044461,3,2018,0,39,0,DS1,3/1/2018
10140044461,4,2018,NA,NA,NA,DS1,4/1/2018
10140044461,5,2018,49,255,0,DS1,5/1/2018
10140044461,6,2018,19,101,0,DS1,6/1/2018
10140044461,7,2018,NA,NA,NA,DS1,7/1/2018
10140044461,8,2018,216,770,500,DS1,8/1/2018
10140044461,9,2018,80,318,318,DS1,9/1/2018
10140044461,10,2018,38,157,145,DS1,10/1/2018
10140044461,11,2018,34,144,140,DS1,11/1/2018
10140044461,12,2018,35,155,155,DS1,12/1/2018
12430021505,1,2018,46,291,0,DS1,1/1/2018
12430021505,2,2018,38,207,0,DS1,2/1/2018
12430021505,3,2018,42,225,0,DS1,3/1/2018
12430021505,4,2018,46,319,0,DS1,4/1/2018
12430021505,5,2018,42,234,0,DS1,5/1/2018
12430021505,6,2018,52,344,0,DS1,6/1/2018
12430021505,7,2018,37,219,0,DS1,7/1/2018
12430021505,8,2018,NA,NA,NA,DS1,8/1/2018
12430021505,9,2018,NA,NA,NA,DS1,9/1/2018
12430021505,10,2018,NA,NA,NA,DS1,10/1/2018
12430021505,11,2018,NA,NA,NA,DS1,11/1/2018
12430021505,12,2018,NA,NA,NA,DS1,12/1/2018
12720036908,1,2018,80,423,0,DS1,1/1/2018
12720036908,2,2018,80,365,0,DS1,2/1/2018
12720036908,3,2018,80,369,0,DS1,3/1/2018
12720036908,4,2018,105,450,0,DS1,4/1/2018
12720036908,5,2018,105,378,0,DS1,5/1/2018
12720036908,6,2018,105,468,0,DS1,6/1/2018
12720036908,7,2018,105,477,0,DS1,7/1/2018
12720036908,8,2018,NA,NA,NA,DS1,8/1/2018
12720036908,9,2018,105,396,0,DS1,9/1/2018
